ID,Count
18288,510.7164423
18289,407.5784402
18290,344.9368977
18291,285.0090353
18292,239.8929663
18293,214.7437756
18294,230.9078711
18295,267.7921408
18296,308.3793587
18297,398.4935106
18298,565.6162816
18299,627.0598115
18300,633.7033364
18301,560.4611967
18302,599.2695473
18303,591.7002853
18304,576.5980646
18305,590.0303282
18306,604.5516942
18307,641.490419
18308,616.4501385
18309,575.3909761
18310,577.4784225
18311,563.8283384
18312,386.2030223
18313,308.2102169
18314,260.8407746
18315,215.5234132
18316,181.4067082
18317,162.3889272
18318,174.6121925
18319,202.5040229
18320,233.1960174
18321,301.3402065
18322,427.7182001
18323,474.181707
18324,479.2055308
18325,423.8199324
18326,453.1667501
18327,447.4428853
18328,436.0226082
18329,446.1800662
18330,457.1611018
18331,485.0941111
18332,466.1586878
18333,435.1098097
18334,436.6883335
18335,426.3661601
18336,375.1570777
18337,299.3949752
18338,253.3803649
18339,209.3591433
18340,176.2182236
18341,157.7443776
18342,169.6180404
18343,196.7121257
18344,226.5262864
18345,292.7214567
18346,415.4848635
18347,460.6194494
18348,465.4995848
18349,411.6980918
18350,440.2055496
18351,434.6453953
18352,423.5517541
18353,433.4186945
18354,444.0856572
18355,471.2197436
18356,452.8258998
18357,422.6650628
18358,424.1984387
18359,414.1714937
18360,536.7581721
18361,428.361103
18362,362.5254316
18363,299.5418126
18364,252.1252489
18365,225.6936862
18366,242.6819984
18367,281.4470185
18368,324.1038024
18369,418.8129276
18370,594.4573863
18371,659.0339577
18372,666.0162398
18373,589.0394406
18374,629.8266517
18375,621.8714285
18376,605.9991369
18377,620.1163194
18378,635.3781383
18379,674.2003902
18380,647.8832912
18381,604.7304982
18382,606.9243846
18383,592.5782748
18384,531.5573381
18385,424.2105655
18386,359.0127984
18387,296.6394493
18388,249.6823209
18389,223.5068627
18390,240.3305693
18391,278.7199818
18392,320.9634496
18393,414.7549055
18394,588.6974849
18395,652.6483517
18396,659.5629802
18397,583.3320355
18398,623.7240453
18399,615.8459031
18400,600.1274035
18401,614.1077998
18402,629.2217417
18403,667.6678315
18404,641.6057279
18405,598.871057
18406,601.0436862
18407,586.8365808
18408,554.6412943
18409,442.6327702
18410,374.6036578
18411,309.5216193
18412,260.5252824
18413,233.2131018
18414,250.767412
18415,290.8239627
18416,334.9019387
18417,432.766479
18418,614.2628679
18419,680.9909309
18420,688.2058411
18421,608.6644129
18422,650.8105278
18423,642.5902612
18424,626.1891539
18425,640.7766772
18426,656.5469728
18427,696.6626621
18428,669.4687587
18429,624.878248
18430,627.145228
18431,612.3211502
18432,540.5156859
18433,431.3597956
18434,365.0632492
18435,301.6387206
18436,253.8902226
18437,227.2736289
18438,244.3808658
18439,283.417256
18440,326.3726538
18441,421.7447793
18442,598.6188168
18443,663.647449
18444,670.6786099
18445,593.1629434
18446,634.2356807
18447,626.2247679
18448,610.2413641
18449,624.4573723
18450,639.8260298
18451,678.9200525
18452,652.4187236
18453,608.9638444
18454,611.1730889
18455,596.7265508
18456,526.026313
18457,419.7965181
18458,355.2771548
18459,293.5528204
18460,247.084296
18461,221.1812019
18462,237.8298524
18463,275.8198108
18464,317.6237216
18465,410.4392473
18466,582.5718982
18467,645.8573357
18468,652.7000152
18469,577.262278
18470,617.233996
18471,609.4378284
18472,593.8828848
18473,607.7178106
18474,622.6744871
18475,660.720533
18476,634.9296139
18477,592.6396111
18478,594.7896333
18479,580.7303574
18480,397.4677167
18481,317.2000323
18482,268.4489273
18483,221.8097581
18484,186.6979437
18485,167.1254557
18486,179.7052468
18487,208.4106207
18488,239.9978333
18489,310.1296388
18490,440.193801
18491,488.0125464
18492,493.1829041
18493,436.1818295
18494,466.3846294
18495,460.493812
18496,448.7404305
18497,459.1941592
18498,470.4954875
18499,499.2432414
18500,479.7555134
18501,447.8010076
18502,449.4255736
18503,438.802325
18504,386.4428587
18505,308.4016189
18506,261.0027596
18507,215.6572557
18508,181.5193638
18509,162.4897725
18510,174.7206286
18511,202.6297801
18512,233.3408347
18513,301.5273421
18514,427.9838178
18515,474.4761791
18516,479.5031227
18517,424.0831293
18518,453.4481716
18519,447.7207522
18520,436.2933831
18521,446.4571489
18522,457.4450039
18523,485.3953599
18524,466.4481775
18525,435.3800177
18526,436.9595218
18527,426.6309381
18528,548.4265044
18529,437.6730427
18530,370.4062007
18531,306.0534105
18532,257.6060806
18533,230.5999346
18534,247.9575477
18535,287.5652623
18536,331.1493419
18537,427.917304
18538,607.3800146
18539,673.3603856
18540,680.4944523
18541,601.8442907
18542,643.5181557
18543,635.3899978
18544,619.1726658
18545,633.5967351
18546,649.1903235
18547,688.8565141
18548,661.96732
18549,617.8764488
18550,620.1180271
18551,605.460054
18552,542.6647118
18553,433.0748307
18554,366.5146971
18555,302.8380001
18556,254.8996599
18557,228.1772417
18558,245.352495
18559,284.5440892
18560,327.6702725
18561,423.4215862
18562,600.9988538
18563,666.2860321
18564,673.345148
18565,595.5212885
18566,636.7573261
18567,628.7145629
18568,612.6676109
18569,626.9401403
18570,642.3699018
18571,681.6193576
18572,655.0126626
18573,611.385012
18574,613.6030402
18575,599.0990644
18576,566.1830239
18577,451.8436742
18578,382.3989196
18579,315.9625657
18580,265.9466464
18581,238.0661169
18582,255.985721
18583,296.8758228
18584,341.8710333
18585,441.7720719
18586,627.0452842
18587,695.1619154
18588,702.5269632
18589,621.330329
18590,664.3534775
18591,655.9621524
18592,639.2197485
18593,654.1108289
18594,670.2092942
18595,711.1597652
18596,683.3999742
18597,637.8815636
18598,640.195718
18599,625.0631606
18600,552.3268551
18601,440.7857266
18602,373.04049
18603,308.2300297
18604,259.4381475
18605,232.2399367
18606,249.7209953
18607,289.6103957
18608,333.5044406
18609,430.9606061
18610,611.6996363
18611,678.1492526
18612,685.3340561
18613,606.124543
18614,648.0947881
18615,639.9088235
18616,623.5761556
18617,638.1028074
18618,653.8072957
18619,693.7555879
18620,666.6751608
18621,622.2707201
18622,624.5282403
18623,609.7660212
18624,534.6732189
18625,426.6972014
18626,361.1172583
18627,298.3782893
18628,251.1459078
18629,224.8170144
18630,241.7393381
18631,280.3537816
18632,322.8448719
18633,417.1861143
18634,592.1483096
18635,656.4740434
18636,663.429204
18637,586.751409
18638,627.3801886
18639,619.4558663
18640,603.645228
18641,617.7075746
18642,632.9101114
18643,671.5815643
18644,645.3666899
18645,602.3815172
18646,604.5668818
18647,590.2764972
18648,407.6561628
18649,325.3309454
18650,275.3301842
18651,227.4954948
18652,191.4836454
18653,171.4094482
18654,184.311702
18655,213.752892
18656,246.1497921
18657,318.0793137
18658,451.4774617
18659,500.5219638
18660,505.8248553
18661,447.3626497
18662,478.3396498
18663,472.2978308
18664,460.2431703
18665,470.9648635
18666,482.5558832
18667,512.0405396
18668,492.053275
18669,459.2796668
18670,460.9458759
18671,450.0503174
18672,396.219584
18673,316.2039572
18674,267.605941
18675,221.1132286
18676,186.1116727
18677,166.6006465
18678,179.1409343
18679,207.7561673
18680,239.2441894
18681,309.1557662
18682,438.8114995
18683,486.4800839
18684,491.6342056
18685,434.8121263
18686,464.9200831
18687,459.0477641
18688,447.3312908
18689,457.7521925
18690,469.0180323
18691,497.6755122
18692,478.2489797
18693,446.3948178
18694,448.0142823
18695,437.4243929
18696,558.913019
18697,446.04183
18698,377.4887724
18699,311.9054865
18700,262.5317906
18701,235.0092576
18702,252.6987672
18703,293.0638246
18704,337.4812795
18705,436.0995509
18706,618.9937848
18707,686.2357726
18708,693.5062505
18709,613.3522118
18710,655.8229267
18711,647.5393495
18712,631.0119244
18713,645.7117977
18714,661.6035526
